1022,1020,1018,1036 5',1036 6',1034 5' ,1034 6' ,1032 5' ,1032 6' ,1050 5',1050 6',1048 5',1048 6',1046 5',1046 6'
0.842834647,0.046898948,0.016203741,0.053298552,0.030974301,0.001807897,0.003891608,0.00081787,0.000329286,0.001206491,0.00145958,3.08075E-05,0.000133469,0.000112801,0
0.828624381,0.049416482,0.015434676,0.062939998,0.028938501,0.002914743,0.00389191,0.003677323,0.000323659,0.001455751,0.001653156,0.000127824,0.000237638,0.000363957,0
0.536100303,0.238074651,0.061680357,0.045539703,0.059086324,0.020781092,0.025796224,0,0,0.006485084,0.006456262,0,0,0,0
0.443264413,0.262580828,0.060294124,0.095540967,0.063768426,0.033180204,0.02347527,0.002588271,0.001998089,0.005518327,0.005124495,0.001633158,0.000924478,4.42901E-05,6.46599E-05
0.885659748,0.018008164,0.026320103,0.047566987,0.007946606,0.004079742,0.000854071,0.005103152,0,0.001288844,0.000445009,0.000298564,0.00054274,0.001886269,0
0.894814625,0.006901145,0.001612935,0.076569014,0.017028597,0.000249994,0.000569287,7.69904E-06,1.19573E-05,0.001601149,0.000633598,0,0,0,0
0.894955178,0.006755071,0.001604164,0.077132083,0.015968999,0.000424921,0.000689352,0,0,0.001743271,0.00072696,0,0,0,0
0.269946098,0.177128031,0.03395456,0.101895686,0.259562584,0.028296752,0.070467321,0.002219233,0.005282597,0.01112277,0.034033215,0.001922624,0.004168529,0,0
0.314550819,0.178585723,0.036917006,0.066508666,0.261605238,0.024964618,0.071320636,0.002700252,0.00512184,0.008141594,0.023609983,0.001690887,0.004282738,0,0
0.704949112,0.047060471,0.014451665,0.102164701,0.099908054,0.006089223,0.010561538,0.000822259,0.000261104,0.005185593,0.007919126,8.30135E-05,0.000544141,0,0
0.702599799,0.039948657,0.012299795,0.116461096,0.103676623,0.004716554,0.008356475,0.000531955,0.000171943,0.004257083,0.006554383,1.9273E-05,0.000406363,0,0
0.451525722,0.042710989,0.009176869,0.343025441,0.112859071,0.010404547,0.006463146,0.001475425,0.000271581,0.014789673,0.006475648,0.000272234,0.000373376,0.000176277,0
0.50474709,0.036810002,0.010713459,0.344255433,0.059718188,0.009163812,0.003019846,0.004408365,0,0.014108267,0.007292653,0.000814334,0.001289539,0.003659013,0
