1302,1300,1298,1296,1292,1292iso,1022,1020,1018,1036 5',1034 5' ,1032 5' ,1050 5',1048 5',1046 5'
0.0156,0.0006,0.0025,0.0017,0.0041,0.0008,0.9138,0.0145,0.0031,0.0218,0.0000,0.0000,0.0022,0.0000,0.0000
0.1736,0.0126,0.0174,0.0119,0.0115,0.0024,0.6863,0.0034,0.0034,0.0166,0.0000,0.0000,0.0000,0.0000,0.0000
0.1436,0.0066,0.0090,0.0054,0.0034,0.0007,0.7458,0.0035,0.0000,0.0223,0.0000,0.0000,0.0019,0.0000,0.0000
0.1433,0.0128,0.0096,0.0076,0.0046,0.0006,0.7376,0.0032,0.0000,0.0212,0.0000,0.0000,0.0000,0.0000,0.0000
0.2016,0.0144,0.0137,0.0098,0.0166,0.0030,0.6510,0.0015,0.0000,0.0195,0.0000,0.0000,0.0000,0.0000,0.0000
0.0289,0.0192,0.0179,0.0118,0.0031,0.0000,0.8634,0.0044,0.0000,0.0271,0.0000,0.0000,0.0000,0.0000,0.0000
0.2287,0.0097,0.0058,0.0041,0.0183,0.0028,0.5912,0.0004,0.0000,0.0225,0.0000,0.0000,0.0000,0.0000,0.0000
0.0564,0.0142,0.0114,0.0153,0.0081,0.0022,0.8363,0.0037,0.0043,0.0215,0.0000,0.0000,0.0027,0.0000,0.0000
0.0472,0.0109,0.0102,0.0096,0.0061,0.0017,0.8650,0.0020,0.0022,0.0190,0.0000,0.0000,0.0018,0.0000,0.0000
0.0512,0.0158,0.0172,0.0241,0.0156,0.0037,0.8091,0.0026,0.0038,0.0200,0.0000,0.0000,0.0070,0.0000,0.0000
0.0404,0.0121,0.0135,0.0146,0.0150,0.0037,0.8214,0.0021,0.0000,0.0350,0.0000,0.0000,0.0062,0.0000,0.0000
0.0809,0.0045,0.0047,0.0022,0.0042,0.0010,0.8529,0.0012,0.0000,0.0231,0.0000,0.0000,0.0016,0.0000,0.0000
0.1206,0.0076,0.0088,0.0046,0.0235,0.0028,0.7506,0.0000,0.0000,0.0257,0.0000,0.0000,0.0062,0.0000,0.0000
0.1547,0.0048,0.0063,0.0027,0.0192,0.0022,0.7179,0.0000,0.0000,0.0334,0.0000,0.0000,0.0025,0.0000,0.0000
0.0562,0.0109,0.0105,0.0056,0.0145,0.0017,0.8393,0.0026,0.0000,0.0207,0.0000,0.0000,0.0000,0.0000,0.0000
0.1502,0.0068,0.0092,0.0049,0.0165,0.0031,0.7412,0.0016,0.0000,0.0206,0.0000,0.0000,0.0015,0.0000,0.0000


0.1123,0.0051,0.0044,0.0022,0.0068,0.0009,0.7976,0.0020,0.0000,0.0243,0.0000,0.0000,0.0022,0.0000,0.0000


0.2008,0.0058,0.0044,0.0030,0.0143,0.0044,0.6605,0.0000,0.0000,0.0419,0.0000,0.0000,0.0000,0.0000,0.0000

0.1225,0.1197,0.1590,0.0815,0.0019,0.0007,0.4582,0.0105,0.0066,0.0048,0.0000,0.0000,0.0000,0.0000,0.0000
0.1677,0.0125,0.0149,0.0072,0.0193,0.0042,0.6673,0.0023,0.0014,0.0300,0.0000,0.0000,0.0052,0.0000,0.0000
0.1095,0.0752,0.0638,0.0464,0.0029,0.0005,0.6551,0.0000,0.0000,0.0130,0.0000,0.0000,0.0047,0.0000,0.0000
0.0765,0.0033,0.0015,0.0015,0.0010,0.0003,0.8279,0.0032,0.0000,0.0328,0.0000,0.0000,0.0028,0.0000,0.0000
0.1013,0.0047,0.0053,0.0025,0.0128,0.0041,0.7977,0.0013,0.0000,0.0000,0.0133,0.0000,0.0000,0.0000,0.0000
0.1351,0.0120,0.0106,0.0052,0.0006,0.0002,0.7330,0.0060,0.0000,0.0280,0.0000,0.0000,0.0029,0.0000,0.0000
0.0116,0.0066,0.0066,0.0027,0.0033,0.0004,0.8858,0.0049,0.0000,0.0440,0.0000,0.0000,0.0028,0.0000,0.0000
0.1382,0.0035,0.0033,0.0014,0.0000,0.0000,0.7525,0.0000,0.0000,0.0371,0.0000,0.0000,0.0030,0.0000,0.0000
0.1890,0.0092,0.0078,0.0045,0.0000,0.0000,0.6713,0.0048,0.0000,0.0260,0.0000,0.0000,0.0000,0.0000,0.0000
0.0782,0.0200,0.0162,0.0094,0.0036,0.0006,0.7960,0.0052,0.0000,0.0311,0.0000,0.0000,0.0000,0.0000,0.0000
0.1454,0.0059,0.0056,0.0021,0.0044,0.0003,0.7386,0.0000,0.0000,0.0436,0.0000,0.0000,0.0000,0.0000,0.0000
0.1054,0.0045,0.0063,0.0023,0.0087,0.0012,0.8024,0.0019,0.0018,0.0228,0.0000,0.0000,0.0012,0.0000,0.0000
0.1325,0.0073,0.0049,0.0020,0.0095,0.0002,0.7568,0.0021,0.0000,0.0374,0.0000,0.0000,0.0000,0.0000,0.0000
0.1893,0.0067,0.0089,0.0021,0.0211,0.0041,0.6609,0.0010,0.0000,0.0362,0.0000,0.0000,0.0000,0.0000,0.0000
0.2877,0.0076,0.0103,0.0032,0.0176,0.0026,0.5634,0.0023,0.0000,0.0280,0.0000,0.0000,0.0000,0.0000,0.0000
0.1517,0.0068,0.0043,0.0016,0.0071,0.0008,0.7326,0.0010,0.0000,0.0171,0.0000,0.0000,0.0000,0.0000,0.0000
0.2022,0.0075,0.0110,0.0062,0.0379,0.0076,0.5781,0.0026,0.0000,0.0164,0.0000,0.0000,0.0014,0.0000,0.0000
0.1529,0.0110,0.0079,0.0046,0.0081,0.0010,0.7281,0.0023,0.0000,0.0166,0.0000,0.0000,0.0008,0.0000,0.0000
0.1504,0.0115,0.0189,0.0082,0.0432,0.0065,0.6294,0.0032,0.0000,0.0108,0.0000,0.0000,0.0000,0.0000,0.0000
0.1737,0.0082,0.0071,0.0039,0.0166,0.0017,0.6897,0.0016,0.0000,0.0181,0.0000,0.0000,0.0012,0.0000,0.0000

0.0370,0.0064,0.0045,0.0015,0.0111,0.0015,0.8308,0.0138,0.0059,0.0276,0.0023,0.0000,0.0019,0.0000,0.0000
0.0598,0.0035,0.0063,0.0033,0.0044,0.0004,0.8632,0.0059,0.0037,0.0202,0.0000,0.0000,0.0000,0.0000,0.0000
0.1111,0.0087,0.0021,0.0005,0.0034,0.0005,0.8056,0.0025,0.0016,0.0209,0.0000,0.0000,0.0000,0.0000,0.0000
0.0519,0.0153,0.0107,0.0065,0.0262,0.0023,0.8100,0.0096,0.0043,0.0186,0.0015,0.0000,0.0000,0.0000,0.0000
0.0742,0.0073,0.0042,0.0020,0.0019,0.0004,0.8473,0.0038,0.0034,0.0152,0.0000,0.0000,0.0009,0.0000,0.0000
0.1773,0.0155,0.0198,0.0103,0.0133,0.0027,0.6676,0.0000,0.0000,0.0171,0.0000,0.0000,0.0000,0.0000,0.0000
0.2614,0.0078,0.0096,0.0044,0.0148,0.0028,0.6095,0.0000,0.0000,0.0106,0.0000,0.0000,0.0000,0.0000,0.0000
0.2032,0.0046,0.0047,0.0025,0.0184,0.0022,0.6606,0.0000,0.0000,0.0196,0.0000,0.0000,0.0000,0.0000,0.0000
0.1030,0.0128,0.0220,0.0159,0.1014,0.0319,0.5861,0.0061,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.2691,0.0073,0.0097,0.0044,0.0480,0.0081,0.4969,0.0000,0.0000,0.0077,0.0000,0.0000,0.0000,0.0000,0.0000
